LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
2b8f72deb66f4d1c807025f57e8bf22b964dcf1e2f0ebd93e43652ebed5d5333,2,Cavity wall insulation,Cavity wall insulation,6.0,,"£900 - £1,500"
2b8f72deb66f4d1c807025f57e8bf22b964dcf1e2f0ebd93e43652ebed5d5333,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£8,000 - £10,000"
32e08110371f6222b97e5ceab828974cc4af501b0d12c359b5f2d3ca1a9521d6,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
32e08110371f6222b97e5ceab828974cc4af501b0d12c359b5f2d3ca1a9521d6,2,Draught proofing,Draught proofing,10.0,,£150 - £250
33aa2dbe724317f5c4959e8c56f8b9d19e2bb8a0cae7800fc2f206e3f03f4dbb,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45.0,,"£900 - £1,200"
33aa2dbe724317f5c4959e8c56f8b9d19e2bb8a0cae7800fc2f206e3f03f4dbb,2,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
33aa2dbe724317f5c4959e8c56f8b9d19e2bb8a0cae7800fc2f206e3f03f4dbb,3,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£240 - £280
33aa2dbe724317f5c4959e8c56f8b9d19e2bb8a0cae7800fc2f206e3f03f4dbb,4,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
4d0746a6774013c6e6d06b8d5c21b5cffd3d4ff082c6dfa99fca3ddf65b0c29d,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
4d0746a6774013c6e6d06b8d5c21b5cffd3d4ff082c6dfa99fca3ddf65b0c29d,2,Draught proofing,Draught proofing,10.0,,£150 - £250
4d0746a6774013c6e6d06b8d5c21b5cffd3d4ff082c6dfa99fca3ddf65b0c29d,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
78549266df5f50953e1531adb67d2d373c9678248cb9f95f5d3b07631ab0e494,1,Increase loft insulation to 270 mm,Increase loft insulation to 270 mm,5.0,,"£900 - £1,200"
78549266df5f50953e1531adb67d2d373c9678248cb9f95f5d3b07631ab0e494,2,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
78549266df5f50953e1531adb67d2d373c9678248cb9f95f5d3b07631ab0e494,3,Draught proofing,Draught proofing,10.0,,£150 - £250
78549266df5f50953e1531adb67d2d373c9678248cb9f95f5d3b07631ab0e494,4,Heating controls (room thermostat and TRVs),Heating controls (room thermostat and TRVs),12.0,,£220 - £250
78549266df5f50953e1531adb67d2d373c9678248cb9f95f5d3b07631ab0e494,5,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
82f199bdc3afd03e222660790d3a8c9f58808c6ebaac3c41ce9ae23def1c676f,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
82f199bdc3afd03e222660790d3a8c9f58808c6ebaac3c41ce9ae23def1c676f,2,Draught proofing,Draught proofing,10.0,,£150 - £250
82f199bdc3afd03e222660790d3a8c9f58808c6ebaac3c41ce9ae23def1c676f,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
a69a7b77afecc348fea633fb91d52dbbb4cd50886465953975de6c1c5a055aa9,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45.0,,"£900 - £1,200"
a69a7b77afecc348fea633fb91d52dbbb4cd50886465953975de6c1c5a055aa9,2,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
a69a7b77afecc348fea633fb91d52dbbb4cd50886465953975de6c1c5a055aa9,3,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£270 - £315
a7e526cb699772b50f21c527cf5da5fc2284c36fd7720b071cd53c9e0d34db5c,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
a8a1d997f888cb5b5f2a5a88d5688339ab543ec9e918a4f88d80bc4cce43b88f,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
a8a1d997f888cb5b5f2a5a88d5688339ab543ec9e918a4f88d80bc4cce43b88f,2,Draught proofing,Draught proofing,10.0,,£150 - £250
a8a1d997f888cb5b5f2a5a88d5688339ab543ec9e918a4f88d80bc4cce43b88f,3,Replace boiler with new condensing boiler,Condensing boiler,20.0,,"£2,200 - £3,500"
a8a1d997f888cb5b5f2a5a88d5688339ab543ec9e918a4f88d80bc4cce43b88f,4,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
d0146ee81227e8fdbb85e4bd747d2342198edaf591fd02880731d91a80661bd8,1,Draught proofing,Draught proofing,10.0,,£150 - £250
d0146ee81227e8fdbb85e4bd747d2342198edaf591fd02880731d91a80661bd8,2,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£300 - £350
d0146ee81227e8fdbb85e4bd747d2342198edaf591fd02880731d91a80661bd8,3,High heat retention storage heaters and dual immersion cylinder and dual rate meter,High heat retention storage heaters,61.0,,"£1,200 - £2,400"
e4b1affcde86c9594826df7591ff87479b41ac882395643b8de1f8a6076ef9ad,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
e4b1affcde86c9594826df7591ff87479b41ac882395643b8de1f8a6076ef9ad,2,Heating controls (room thermostat),Heating controls (room thermostat),14.0,,£220 - £250
e4b1affcde86c9594826df7591ff87479b41ac882395643b8de1f8a6076ef9ad,3,Replace boiler with new condensing boiler,Condensing boiler,20.0,,"£2,200 - £3,500"
e968ce8edfacf760b78c1fedf7197da6c16597035bb16ed430a5e8fbcd46b792,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
e968ce8edfacf760b78c1fedf7197da6c16597035bb16ed430a5e8fbcd46b792,2,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£5,000 - £10,000"
e968ce8edfacf760b78c1fedf7197da6c16597035bb16ed430a5e8fbcd46b792,3,Draught proofing,Draught proofing,10.0,,£150 - £250
e968ce8edfacf760b78c1fedf7197da6c16597035bb16ed430a5e8fbcd46b792,4,Replace boiler with new condensing boiler,Condensing boiler,20.0,,"£2,200 - £3,500"
e968ce8edfacf760b78c1fedf7197da6c16597035bb16ed430a5e8fbcd46b792,5,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£8,000 - £10,000"
ef23e12929a198f021b532ed5b73d529b19b256252904104068fbaa0a2c479b8,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
ef23e12929a198f021b532ed5b73d529b19b256252904104068fbaa0a2c479b8,2,Draught proofing,Draught proofing,10.0,,£150 - £250
